date,CO,NO2,HCHO,O3,SO2,CH4
2025-08-25,0.03094887435436249,2.6719786546891555e-05,0.00010916775402923425,0.1166159709294637,0.00038188360631465914,
2025-08-26,0.03466777847363399,5.74397932117184e-05,0.0001835603266954422,0.11558286348978679,0.000209465188284715,
2025-08-27,0.02633997400601705,2.9640168779426152e-05,0.00019356654956936836,0.11585922241210937,0.0003718409257439467,
2025-08-28,,,0.0001455838093534112,0.11644995212554932,1.1913650268979836e-05,
2025-08-29,0.032014709711074826,,0.00018135688151232898,0.11252501805623373,,
2025-08-30,0.02822882930437724,2.8344587190076708e-05,9.626794296006362e-05,0.11555591424306234,4.624088372414311e-05,
2025-08-31,0.026741790771484374,2.4983213127901156e-05,0.00020186537876725196,0.11581400235493979,0.0006116261705756187,
2025-09-01,0.027249701817830405,2.5842218504597744e-05,0.00013143862597644329,0.11564982732137044,0.0005323667079210282,
2025-09-02,0.023930581552641734,1.128903022618033e-05,8.457788887123267e-05,0.11354414621988933,1.5607660316163674e-05,
2025-09-03,0.026381516998464413,3.7196426031490164e-05,0.00014838608913123608,0.11372907161712646,0.00011040618022282919,1873.648158482143
2025-09-04,0.028718211434104225,2.775688093000402e-05,0.00020216039071480434,0.11357906659444174,6.350461238374313e-05,
2025-09-05,0.025822840134302773,2.595035039121285e-05,0.00031779610241452854,0.11341842810312906,0.00010254624454925458,
2025-09-06,0.028556993374457725,2.231333531777967e-05,0.00023734429851174355,0.11316465536753337,-9.94222668501047e-05,
2025-09-07,,,,0.11414852937062582,,
2025-09-08,,,,0.11309068997701009,,
2025-09-09,0.02996695041656494,,,0.11339591344197592,,
2025-09-10,0.026019575198491414,,,0.11451268990834554,,
2025-09-11,0.027321992442011833,3.4574706417818865e-05,3.689073103790482e-05,0.11618603865305582,1.7845401695619028e-05,
2025-09-12,0.030132381121317546,4.363986792870694e-05,0.00017979339075585205,0.11440157095591227,8.941375029583773e-05,
2025-09-13,0.031541489637815036,4.0177294674019017e-05,0.00019752981218819818,0.11489122708638509,9.631645581167605e-05,
2025-09-14,0.029230900605519614,4.353047552285716e-05,0.00017007639897721156,0.11545785268147786,0.00015892007818015723,
2025-09-15,0.03124907414118449,,9.955693531082943e-05,0.11444530487060547,,
2025-09-16,,,0.00012879734276793897,0.11416371663411458,-4.775769411935471e-05,
2025-09-17,,,0.00042686815140768886,0.11559567451477051,-1.4694256606162526e-05,
2025-09-18,0.030263876542448997,3.6181638279231265e-05,0.00016531495687862238,0.11290966669718425,0.00016905353792632619,
2025-09-19,0.02777826537688573,2.0217430169901087e-05,3.805787260220809e-05,0.11210583845774333,8.998193516163156e-06,
2025-09-20,0.02716549038887024,3.200912518271556e-05,,,,
2025-09-21,0.027057894070943198,,0.00024477675712356967,0.11331377824147543,-6.09277873688067e-05,
2025-09-22,0.03299270470937093,5.154885487475743e-05,0.000364241749048233,0.1134555180867513,0.00042113736271858214,
2025-09-23,0.03455100059509277,4.1647814214229584e-05,0.00031560268253087996,0.11313811937967937,0.0001896313081185023,
2025-09-24,0.03598643541336059,3.82743041532544e-05,0.00025290135915080706,0.11268168290456136,5.554562279333671e-05,
2025-09-25,0.030336121718088787,3.387591389652628e-05,0.00021681698660055797,0.11286148230234781,0.0001827526061485211,
2025-09-26,0.03246780037879944,,0.0003340994318326314,0.11341508229573567,0.00012890573125332594,
2025-09-27,0.03476341565450033,3.802536909158031e-05,0.0002957301524778207,0.116530442237854,6.076504165927569e-05,
2025-09-28,0.028439625104268392,2.319612152253588e-05,0.00013791338230172793,0.11665004889170329,-1.0824249329743907e-06,1849.6617838541667
2025-09-29,0.03603101521730423,,0.0006730734021402895,0.11811160246531169,0.0006241086521185935,
2025-09-30,,,,,,
2025-10-01,,,0.0001267310290131718,0.11459259192148845,-0.00021647669200319797,
2025-10-02,,6.367231253534555e-05,0.0002866965408126513,0.11473346551259359,0.00021462029156585534,
2025-10-03,0.029866997400919595,2.6599183911457658e-05,0.00017164673966666062,0.11650416851043702,-0.00016828921313087145,
2025-10-04,0.0361345295722668,3.9890887112253244e-05,0.00028970626105243963,0.1144761880238851,0.00030322916890409857,
2025-10-05,0.030166399478912354,3.100812706785897e-05,0.00016180545402069886,0.11600693861643473,-1.0195052406440178e-05,
2025-10-06,0.034052618344624835,4.420367102803928e-05,0.0001929004831860463,0.11874906222025554,3.9325235411524774e-05,
2025-10-07,0.045528638362884524,6.893327372381464e-05,0.0002971003763377666,0.11981585820515951,0.0003468050931890806,
2025-10-08,0.03533672094345093,2.6844370101268093e-05,0.00019152903308471044,0.11800312201182048,4.3085784030457336e-05,
2025-10-09,0.04160040191241673,5.2828851039521396e-05,0.0002269548363983631,0.11830754280090332,-5.6724789707611005e-05,
2025-10-10,0.03538207213083903,3.234111548711856e-05,0.00026029208675026894,0.11699078877766927,-5.115205810094873e-05,
2025-10-11,0.03205654223759969,2.379088255111128e-05,0.00020405510440468788,0.11324707667032878,-5.1062298007309435e-05,
2025-10-12,0.02305867870648702,2.1290821799387534e-05,0.00013164781654874483,0.1149086316426595,-0.00012014111659179132,
2025-10-13,0.02978609688580036,4.555424675345421e-05,-3.0715571483597158e-06,0.11702852249145508,-4.2886221005270876e-05,
2025-10-14,0.02813569704691569,3.3977068960666655e-05,0.00022469745017588137,0.11820492744445801,-6.307513685896993e-05,
2025-10-15,0.029744967818260193,5.658114484200875e-05,0.00027571866909662884,0.11755363941192627,-0.0001379683963023126,
2025-10-16,0.028220903873443604,3.1604949201989386e-05,0.00014098056902488073,0.12041695912679036,8.448311127722264e-05,
2025-10-17,0.030000909169514974,2.8788674031742492e-05,0.0002306238127251466,0.11938555240631103,5.407459878673156e-05,
2025-10-18,,4.5925669837743044e-05,0.00044095522413651147,0.11859275499979655,0.00042750909924507143,
2025-10-19,0.031891746180398126,,,0.11519518693288168,,
2025-10-20,,,,0.11707482337951661,,
2025-10-21,0.024836130440235138,4.82771429233253e-05,0.0003364332485944033,0.11811006863911946,-0.00015496504784096032,
2025-10-22,,,,0.11933650175730387,,
2025-10-23,0.03313940976347242,,0.0002845611694889764,0.11600797971089681,8.092625972090496e-05,
2025-10-24,,,,0.11635114351908366,,
2025-10-25,,,,0.11720383167266846,,
2025-10-26,,,0.000488555214057366,0.11786578496297201,-6.623979425057769e-05,
2025-10-27,,,,0.1152166763941447,,
2025-10-28,0.02354356398185094,,0.00025450001703575253,0.11337265173594156,0.00013641065743286163,
2025-10-29,,,,0.11628026962280273,,
2025-10-30,0.03145853347248501,,0.0002196315908804536,0.1168349027633667,0.0002978254924528301,
2025-10-31,,,,0.11726005872090657,,
2025-11-01,0.024660833179950714,2.9541664844146e-05,0.0001997901305842858,0.11469459533691406,-0.00021780746465083212,
2025-11-02,,,,0.11778803666432698,,
2025-11-03,,,,0.11912209192911784,,
2025-11-04,,,0.00020117068197578192,0.11489789485931397,-0.000167084886925295,
2025-11-05,0.02957223728299141,,,0.11339624722798665,,
